city,gap_to_gdp,re_invest_dependence,quadrant
南宁,0.07656072870325545,0.1432382385184814,第一象限：转型阵痛区 (高依赖-高缺口)
兰州,0.07436204921362632,0.13165750968321788,第一象限：转型阵痛区 (高依赖-高缺口)
西安,0.0571901275558234,0.17405016266527265,第一象限：转型阵痛区 (高依赖-高缺口)
贵阳,0.056040451579242145,0.1368832930902463,第一象限：转型阵痛区 (高依赖-高缺口)
海口,0.0453889520283001,0.20221698098302238,第一象限：转型阵痛区 (高依赖-高缺口)
合肥,0.03920222880445527,0.12220181555498563,第一象限：转型阵痛区 (高依赖-高缺口)
北京,0.036512768309129195,0.08753326149634827,第三象限：健康发展区 (低依赖-低缺口)
广州,0.0353102889922985,0.11383534072396012,第三象限：健康发展区 (低依赖-低缺口)
大连,0.03294504829426845,0.06394543341709598,第三象限：健康发展区 (低依赖-低缺口)
上海,0.02611187879104165,0.11081548689046097,第三象限：健康发展区 (低依赖-低缺口)
乌鲁木齐,0.0251572401970034,0.09828800452315908,第三象限：健康发展区 (低依赖-低缺口)
深圳,0.0219913283046595,0.09969810970626852,第三象限：健康发展区 (低依赖-低缺口)
西宁,0.13608627200831583,0.0967909966569152,第二象限：内生乏力区 (低依赖-高缺口)
哈尔滨,0.13585363101814205,0.058031096014951405,第二象限：内生乏力区 (低依赖-高缺口)
重庆,0.09391582913783035,0.10956141636325382,第二象限：内生乏力区 (低依赖-高缺口)
银川,0.0742648176783295,0.10932155267659635,第二象限：内生乏力区 (低依赖-高缺口)
呼和浩特,0.0728510007252285,0.07065953119308338,第二象限：内生乏力区 (低依赖-高缺口)
石家庄,0.0717393475762441,0.09667265201337717,第二象限：内生乏力区 (低依赖-高缺口)
长春,0.0698516783735303,0.0947657056511239,第二象限：内生乏力区 (低依赖-高缺口)
天津,0.06803621917911327,0.11059321166159715,第二象限：内生乏力区 (低依赖-高缺口)
南昌,0.059192351613192404,0.09639873847326147,第二象限：内生乏力区 (低依赖-高缺口)
太原,0.05126990745687912,0.10344364378979125,第二象限：内生乏力区 (低依赖-高缺口)
沈阳,0.03798920472293635,0.10565071422897444,第二象限：内生乏力区 (低依赖-高缺口)
拉萨,0.3555814912704966,,第四象限：传统红利区 (高依赖-低缺口)
昆明,0.037969032066550425,0.1587292824189557,第四象限：传统红利区 (高依赖-低缺口)
武汉,0.035682378051303774,0.17306735506230453,第四象限：传统红利区 (高依赖-低缺口)
成都,0.02981297032343025,0.13215879520426074,第四象限：传统红利区 (高依赖-低缺口)
郑州,0.0270603671932084,0.16885837624091465,第四象限：传统红利区 (高依赖-低缺口)
长沙,0.02668838462137565,0.14397163188458906,第四象限：传统红利区 (高依赖-低缺口)
青岛,0.0248130572927996,0.11508532563507698,第四象限：传统红利区 (高依赖-低缺口)
宁波,0.024756586317332324,0.12900420227467574,第四象限：传统红利区 (高依赖-低缺口)
济南,0.022679158003433276,0.13818566257991788,第四象限：传统红利区 (高依赖-低缺口)
厦门,0.02131955903028695,0.14503956630210982,第四象限：传统红利区 (高依赖-低缺口)
福州,0.019798627787967524,0.12102757884886732,第四象限：传统红利区 (高依赖-低缺口)
南京,0.009962499918143275,0.15163491050990222,第四象限：传统红利区 (高依赖-低缺口)
杭州,0.00210884776681735,0.20506776673920749,第四象限：传统红利区 (高依赖-低缺口)
