年份,上海,北京,广州,深圳
2006,2.03%,2.08%,1.31%,1.21%
2007,0.81%,1.46%,1.41%,1.03%
2008,1.58%,1.00%,1.11%,1.15%
2009,2.78%,2.19%,0.96%,1.46%
2010,2.34%,2.36%,0.97%,1.65%
2011,2.38%,1.35%,1.62%,2.18%
2012,2.02%,1.89%,1.78%,0.65%
2013,1.76%,2.36%,1.58%,-0.28%
2014,1.30%,2.11%,1.16%,0.52%
2015,2.42%,3.89%,2.09%,4.54%
2016,1.66%,4.66%,2.81%,5.51%
2017,2.63%,4.45%,3.02%,5.61%
2018,3.29%,4.79%,3.81%,3.07%
2019,2.52%,4.21%,4.94%,2.89%
2020,2.54%,4.24%,4.92%,1.16%
2021,1.40%,2.87%,4.03%,1.02%
2022,3.67%,3.88%,4.05%,3.04%
2023,2.58%,3.78%,3.38%,2.60%
2024,2.79%,4.07%,2.67%,2.14%
2025,,,,
